T,Time,CPSP_6cd,CPSP_6da,CPSP_57a,CPSP_6d9,CPSP_6e0,CPSP_6d3,CPSP_6d9,CPSP_57a,CPSP,CPSP_SEM,SHAM,SHAM_SEM,SHAM_68b,SHAM_6d2,SHAM_6d3
123,1/26/2023 18:00,12.50,6.62,7.77,32.20,12.20,0.43,0.61,1.50,9.23,3.70,7.71,1.98,9.77,9.60,3.76
124,1/26/2023 19:00,34.70,40.00,28.40,47.00,39.90,1.33,1.98,7.97,25.16,6.57,29.87,4.97,39.80,25.30,24.50
125,1/26/2023 20:00,28.70,24.60,27.70,27.80,15.70,24.30,14.80,23.80,23.43,1.90,23.20,3.30,23.80,28.60,17.20
126,1/26/2023 21:00,27.90,17.70,40.00,20.90,36.40,42.80,27.40,31.00,30.51,3.13,17.36,5.34,22.30,6.69,23.10
127,1/26/2023 22:00,46.30,53.30,43.90,29.60,11.20,8.86,43.50,30.80,33.43,5.81,36.07,2.58,34.00,41.20,33.00
128,1/26/2023 23:00,12.10,57.10,41.40,38.10,28.50,29.00,38.20,18.30,32.84,4.99,22.71,10.39,40.60,4.62,22.90
129,1/27/2023 0:00,54.80,47.90,9.43,9.75,39.60,32.00,14.10,23.00,28.82,6.20,30.17,7.36,16.60,41.90,32.00
130,1/27/2023 1:00,45.90,53.90,44.50,47.10,3.65,9.17,16.40,13.40,29.25,7.21,27.13,7.98,18.90,43.10,19.40
131,1/27/2023 2:00,16.30,45.20,16.60,42.50,27.70,27.40,19.00,27.30,27.75,3.91,15.79,6.83,28.20,14.50,4.66
132,1/27/2023 3:00,2.29,14.80,25.50,14.50,44.70,6.22,2.85,7.42,14.79,5.06,10.34,2.26,6.61,10.00,14.40
133,1/27/2023 4:00,46.70,26.40,12.20,21.60,2.13,1.57,6.44,7.43,15.56,5.45,32.47,4.91,33.00,40.70,23.70
134,1/27/2023 5:00,58.20,22.40,21.80,37.60,24.10,1.84,28.70,4.04,24.84,6.36,37.83,0.65,36.60,38.80,38.10
135,1/27/2023 6:00,53.40,21.40,15.60,27.80,21.00,8.15,5.37,2.77,19.44,5.74,20.40,7.98,31.10,4.79,25.30
136,1/27/2023 7:00,46.40,37.60,0.27,2.42,25.30,36.40,3.08,21.20,21.58,6.37,14.12,10.02,7.55,33.80,1.02
137,1/27/2023 8:00,15.90,6.56,13.20,28.50,9.70,5.59,17.60,16.80,14.23,2.60,7.47,3.28,1.12,12.10,9.19
138,1/27/2023 9:00,6.51,7.75,5.15,16.80,14.00,3.92,6.27,3.32,7.97,1.72,9.10,6.89,4.25,0.35,22.70
139,1/27/2023 10:00,10.60,3.30,0.33,14.70,5.06,0.55,4.68,4.01,5.40,1.74,2.66,1.70,6.00,0.41,1.56
140,1/27/2023 11:00,2.15,0.71,0.12,17.30,5.30,3.67,4.91,4.90,4.88,1.91,2.59,1.91,0.25,1.14,6.37
141,1/27/2023 12:00,6.32,0.07,6.50,25.10,2.57,0.23,6.86,2.63,6.29,2.86,2.56,1.59,5.73,1.13,0.82
142,1/27/2023 13:00,4.00,4.68,0.56,2.71,9.33,2.34,3.32,3.30,3.78,0.90,18.70,1.61,21.70,18.20,16.20
143,1/27/2023 14:00,20.00,7.06,6.17,12.70,5.32,13.50,18.10,2.96,10.73,2.22,2.54,0.63,2.65,3.58,1.40
144,1/27/2023 15:00,3.99,0.17,4.59,26.90,42.50,0.99,3.75,3.07,10.75,5.46,4.82,4.11,13.00,0.04,1.41
145,1/27/2023 16:00,10.90,0.38,0.43,8.08,2.59,9.00,17.10,18.20,8.33,2.46,13.06,4.96,9.81,22.80,6.58
146,1/27/2023 17:00,24.50,6.70,7.74,25.60,15.70,1.08,11.70,1.78,11.85,3.34,6.21,4.21,14.60,1.38,2.66
147,1/27/2023 18:00,12.90,9.41,7.74,30.60,8.64,0.41,1.13,2.80,9.20,3.43,9.15,1.59,12.30,7.92,7.24
148,1/27/2023 19:00,34.70,45.20,25.00,48.70,33.00,12.00,0.57,2.71,25.24,6.53,25.05,8.21,33.80,8.64,32.70
149,1/27/2023 20:00,17.10,39.00,24.00,42.10,37.00,19.30,19.40,10.00,25.99,4.18,16.21,5.83,24.70,5.04,18.90
150,1/27/2023 21:00,52.80,29.20,22.90,25.70,25.60,44.50,46.70,34.90,35.29,4.00,17.90,3.76,24.70,17.30,11.70
151,1/27/2023 22:00,32.30,53.40,44.60,43.30,10.90,36.20,22.60,10.90,31.78,5.58,28.80,3.09,34.50,28.00,23.90
152,1/27/2023 23:00,27.30,53.80,43.00,41.30,34.20,12.90,22.20,19.90,31.83,4.85,23.57,2.43,27.70,23.70,19.30
153,1/28/2023 0:00,21.00,52.60,27.90,31.50,14.40,34.80,28.60,46.90,32.21,4.46,22.83,0.69,23.20,21.50,23.80
154,1/28/2023 1:00,57.50,12.50,35.90,50.40,27.20,9.01,7.79,3.30,25.45,7.32,36.47,5.90,31.60,48.20,29.60
155,1/28/2023 2:00,42.70,2.99,25.20,48.40,56.20,27.00,6.16,16.30,28.12,6.91,20.21,13.13,15.30,45.00,0.32
156,1/28/2023 3:00,6.97,6.90,27.50,13.60,6.85,2.53,35.50,0.85,12.59,4.40,27.43,4.24,33.00,30.20,19.10
157,1/28/2023 4:00,6.85,56.10,24.30,16.40,13.60,36.50,21.30,25.70,25.09,5.42,22.07,4.85,28.90,24.60,12.70
158,1/28/2023 5:00,57.50,52.20,26.70,34.70,37.20,0.56,3.92,1.48,26.78,8.03,26.43,11.81,31.00,44.20,4.08
159,1/28/2023 6:00,50.60,34.80,51.50,41.10,7.43,20.40,6.12,11.00,27.87,6.72,27.60,10.71,22.00,48.30,12.50
160,1/28/2023 7:00,54.30,30.10,36.00,3.14,40.60,1.64,6.96,1.90,21.83,7.38,11.98,7.81,26.90,8.51,0.52
161,1/28/2023 8:00,13.40,0.83,4.67,4.03,3.80,3.85,29.40,7.03,8.38,3.27,9.55,6.69,2.02,3.74,22.90
162,1/28/2023 9:00,1.78,5.63,9.44,32.00,8.28,16.21,8.21,19.21,12.60,3.40,7.10,2.49,2.20,10.30,8.81
163,1/28/2023 10:00,22.60,29.90,9.77,5.60,3.40,9.31,21.22,11.35,14.14,3.30,3.51,1.61,5.62,4.55,0.36
164,1/28/2023 11:00,25.90,0.21,6.26,8.82,26.80,12.22,3.45,18.32,12.75,3.54,0.47,0.24,0.32,0.93,0.15
165,1/28/2023 12:00,0.15,0.02,6.57,48.50,4.57,0.23,2.92,1.70,8.08,5.83,6.59,3.72,13.00,0.11,6.67
166,1/28/2023 13:00,27.00,3.85,11.90,20.90,34.90,6.43,0.59,0.87,13.30,4.56,3.16,1.75,3.32,6.11,0.05
167,1/28/2023 14:00,4.35,2.90,2.13,3.38,1.39,4.91,42.00,0.68,7.72,4.92,2.83,1.39,0.06,4.05,4.38
168,1/28/2023 15:00,6.77,0.02,33.00,23.20,6.73,1.30,8.94,6.25,10.78,4.03,6.59,5.01,2.07,16.60,1.10
169,1/28/2023 16:00,13.10,0.15,16.40,20.50,20.50,0.21,1.19,0.65,9.09,3.33,2.55,1.23,4.55,0.31,2.80
170,1/28/2023 17:00,14.30,14.90,7.49,45.20,20.10,0.26,1.24,1.82,13.16,5.26,5.17,1.57,4.07,8.26,3.18
171,1/28/2023 18:00,10.90,0.02,16.10,21.30,10.80,8.77,8.95,10.80,10.96,2.16,14.39,9.53,32.70,0.66,9.82
172,1/28/2023 19:00,45.20,29.80,27.70,53.40,47.30,2.31,0.53,4.35,26.32,7.64,24.97,6.28,16.40,37.20,21.30
173,1/28/2023 20:00,38.10,49.80,34.30,45.50,28.70,10.10,0.93,10.80,27.28,6.36,19.27,0.79,20.20,17.70,19.90
174,1/28/2023 21:00,4.75,12.50,35.90,28.70,34.90,31.10,45.60,56.30,31.22,5.87,21.17,6.06,21.50,31.50,10.50
175,1/28/2023 22:00,55.40,47.50,34.80,37.40,37.30,25.20,34.40,46.50,39.81,3.35,19.00,5.06,28.90,12.20,15.90
176,1/28/2023 23:00,53.60,59.80,39.60,30.10,50.30,12.60,5.36,18.80,33.77,7.16,24.33,4.81,15.20,31.50,26.30
177,1/29/2023 0:00,42.30,54.80,44.40,32.10,23.30,22.50,40.00,7.15,33.32,5.37,35.53,4.04,42.60,35.40,28.60
